1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0.51023,0.65976,1.0509,0.70342,-0.19216,-1.0835,-0.61551,-0.54687,-0.31188,0.93282,-0.15022,0.85289,0.12431,-0.09616,1.5609,0.16096,-1.1641,0.97303,-0.43522,-0.22507,0.24188,0.41726,-0.38361,0.3882,-0.63963,-0.137,-0.39105,-0.64195,1.0501,-1.186,-0.67881,-1.0619,0.33172,-0.52344,-0.39784,-0.0022565,-0.17643,-0.3005,-0.55475,0.77324,0.79854,-0.36511,1.3042
0.43464,-0.036175,0.43819,0.11018,0.52679,-0.15442,1.1526,-0.57968,1.3691,0.57637,0.9932,0.81065,0.98312,-0.49844,-0.18315,-0.11121,0.25301,-1.043,1.2701,0.87104,-0.23483,-0.070302,-1.1895,-0.81672,1.2879,-0.42745,2.2713,1.0018,0.016337,0.39788,0.15784,-0.69234,0.72594,-0.13536,-0.27305,-0.70504,-0.26543,0.065606,-0.61502,0.029043,-0.1022,0.7905,-1.0656
0.729,-0.029243,1.2551,0.06506,-0.44107,-0.91294,-0.33939,-0.66497,-1.0186,0.098187,-0.04683,0.49779,0.40548,-0.27419,1.0288,-0.46299,-1.2583,0.88519,-0.16548,-0.56642,-0.3453,0.70834,0.2817,1.0132,-0.046385,-0.52319,0.48535,0.22517,0.25429,-0.99753,-0.82697,-0.20513,-0.48882,-0.13302,-0.46684,-0.63445,-0.44189,-0.029609,0.056325,0.29536,0.14075,-0.90086,0.92984
1.0068,-1.386,-0.93416,-1.5465,-0.20789,0.27458,0.43667,-0.23901,0.84268,-0.88151,-0.19397,0.26521,0.44105,0.17014,-0.46814,-0.23251,0.21541,-0.91427,0.9172,-0.27564,-0.38555,-0.24708,-0.16301,-0.036344,-0.12629,-0.46385,0.24632,-0.25092,-0.10654,-0.97388,-0.89291,-0.46199,-0.35228,2.5168,-0.067507,-0.080494,-0.38777,-0.3343,-0.28893,-1.6114,-1.089,-0.92755,-0.64597
0.50133,-0.095401,1.0212,-0.095322,-0.13843,-0.49233,-0.63798,-0.64024,0.063888,0.26705,0.15618,0.73791,0.49714,-0.34619,1.2665,0.46709,-1.7622,0.99562,-0.48469,-0.37185,-0.35699,1.2998,0.16577,0.88735,0.058055,-0.23654,0.029637,0.13612,0.15703,-1.0814,-0.85997,-0.54833,-0.58798,0.20477,-0.038521,-0.2369,-0.33351,-0.3005,-0.26924,0.28951,0.52405,-0.99706,0.65677
-1.4251,1.285,-0.20011,0.3331,0.59799,1.1337,0.14717,2.4694,-2.3039,0.1969,-2.0538,-2.4472,-2.9645,1.0265,0.036693,1.4961,1.2701,-0.8852,-0.23062,1.594,1.6388,-0.40689,0.54191,1.2314,-1.2691,-0.42123,-1.7113,-1.5232,0.19366,-0.78867,-0.56895,-0.55146,0.39904,-0.055147,-0.51503,-0.25633,-0.44586,0.043376,-0.49891,0.074437,0.61368,0.75154,-1.1482
0.77094,-1.5696,-1.0034,-1.9196,-0.40413,-0.016697,-0.75837,-0.27124,0.00034395,-0.32994,-0.48482,-0.68693,0.31285,-2.1814,-0.36215,-0.025483,-0.25317,-1.6476,1.0518,-0.57189,-0.010954,-0.61939,-0.2284,-0.93291,0.030436,-0.45909,0.35447,0.31735,-0.10858,1.9396,1.8257,-0.68279,0.19149,0.25179,5.2175,3.6258,8.8459,-0.17838,3.5221,-1.4086,-2.068,-3.4902,-1.1198
0.1429,0.52612,-0.74768,0.20324,-0.30171,0.99986,0.10882,2.0749,-0.096434,-0.84014,-0.93955,-0.41419,-0.95994,0.062086,-1.6163,-0.85981,-0.30238,-0.39446,-1.6593,0.54405,0.61947,-1.1643,-0.59275,-1.6841,-0.069063,0.64357,0.1564,0.81535,-1.3522,0.46947,0.80203,1.0984,-1.1616,0.48456,-0.32169,-0.068774,-0.0057443,0.10879,1.0296,0.042458,0.5443,-0.092942,0.57738
0.092298,-0.083661,0.72303,0.59002,-0.059061,-1.3031,-0.0027187,-0.61983,-1.2492,0.5645,0.48184,0.58998,0.62914,0.10722,1.3969,-0.49782,-1.0169,1.3736,-0.691,-0.48599,0.60631,1.1744,0.67611,0.89103,-0.2967,-0.64283,0.19807,-0.35201,1.3622,-1.1275,-0.73574,-0.87392,-1.4363,-0.23189,-0.32085,-0.29842,-0.63751,0.21712,-0.74236,0.42101,0.28815,-0.25953,0.99098
-1.1847,0.79855,-0.093514,0.46009,0.18149,1.2782,0.075491,2.2852,-0.61992,0.73329,-0.40436,-0.051462,-1.0569,0.71293,-0.66432,1.6901,1.0954,-1.1614,-0.045452,0.73484,0.31945,0.19847,0.5959,0.50875,0.90351,-0.43038,-1.3602,-1.0955,-0.14992,1.3379,0.8671,-0.79599,0.33392,-0.54336,0.10284,-0.22138,0.0020349,-0.11545,-0.29909,0.15397,0.83629,0.29983,-1.0125
-1.5295,0.76565,0.6288,0.57332,0.64908,1.2832,1.3803,-0.56532,0.99965,0.70356,0.64216,0.14503,0.18721,0.90052,0.010464,0.35376,0.94905,1.5833,-0.56687,0.66976,-0.13878,0.67257,-0.29288,-1.6743,1.4097,2.7811,0.70995,1.8222,-0.10002,-0.89209,-0.67428,-0.85375,0.62461,-0.28693,-0.14175,-0.63132,-0.38746,-0.18112,-0.61677,0.13221,0.61304,0.56432,-1.0056
1.0123,-1.7539,-1.1833,-1.4422,-1.0541,0.12643,-0.33903,-0.52377,0.34175,-0.05154,0.31767,-0.82978,-0.26876,-0.65609,-2.0408,-0.45977,0.43913,-1.249,0.7353,-1.0589,-1.275,-1.4866,-1.5345,-0.3791,0.36245,-0.20154,0.40494,0.70424,0.15147,0.034972,-0.93001,-0.33152,0.29981,-0.41819,0.0045846,-0.88789,-0.16596,0.050197,-0.38788,-2.1607,-2.6331,-0.67932,-0.70743
-1.565,1.1889,0.36543,0.062129,1.02,1.4056,2.3661,0.70989,0.87547,0.76789,0.83621,0.27935,0.32538,1.2768,-0.24782,0.56634,0.63336,1.1127,0.46329,0.7342,0.80964,0.89491,-0.11583,-0.21994,1.6784,2.8209,0.73025,1.9595,-3.8062,0.7672,-0.63839,-0.47479,0.49137,-0.74711,-0.44562,-0.91332,-0.56215,-0.33537,-0.37363,0.071917,0.25243,0.44196,-1.3181
0.84094,-1.8353,-1.093,-2.0525,-1.0418,-0.1938,1.032,0.0683,0.15914,-0.19961,0.43328,-0.57871,0.3078,-1.0739,-1.0916,-0.58051,0.35246,-1.3874,1.2469,-0.19833,-0.57126,-0.38312,-1.3044,-0.80307,0.64576,-0.41875,1.0029,0.6484,0.16581,0.956,0.91531,-0.64261,-0.17331,1.6465,3.7148,2.6349,-0.17596,-0.13294,3.0108,-1.5846,-2.4692,-1.403,-1.1492
0.81472,-2.7766,-0.93853,-1.7997,-1.1964,-0.57587,-0.43628,-0.46678,-0.55393,-1.3019,-1.1126,-0.69544,0.898,-1.1496,-0.92113,-0.57385,-0.32225,-1.4766,-0.56913,-1.1389,-1.099,-1.2107,-1.4908,-0.69221,-1.3389,-0.6019,-1.0599,-0.91434,-0.087136,-1.2124,-0.44179,-0.63689,0.50942,-0.33548,-0.23413,-0.53359,-0.1559,-0.16647,-0.36295,-1.6042,-2.2201,-0.73676,-1.1284
-0.15223,0.66956,-0.0062187,-0.0015363,0.30673,1.0985,0.75724,-0.96804,0.84397,0.96422,0.67429,0.33725,0.50218,0.60363,-0.39694,-0.22814,-0.0097392,0.53468,-0.70645,0.65325,0.71791,-0.024666,-0.78437,-0.74817,0.89992,2.2492,0.58337,1.0235,-2.3198,0.94346,1.2564,1.1475,0.48911,-0.37199,-0.09201,-0.63804,-0.050434,-0.21009,-0.56683,0.39561,0.19286,0.27769,0.83011
0.4377,0.29193,0.7682,0.51963,-0.45834,-1.4249,-0.40236,-0.54661,-0.95764,0.62504,-0.12308,0.77835,0.72434,-0.2127,0.835,-0.66222,-1.1844,1.1224,-0.60213,-0.46331,0.044089,0.5308,-0.27475,0.68097,-0.38025,-0.68426,-0.15313,-0.39173,0.83522,-1.2007,-0.86022,-0.37212,0.64648,-0.65014,-0.078946,-0.72978,-0.60752,-0.34085,-0.96922,0.91425,0.96689,0.081963,1.327
0.48911,-1.3076,-0.57306,-1.2146,-0.64054,0.52612,1.0057,-0.85039,-0.80698,-0.27129,0.60842,0.11529,-0.10994,-0.12675,-0.11824,-0.21118,0.69181,-1.14,-0.78125,-0.5107,-1.1953,0.044262,-0.95902,-0.91637,0.061658,-0.17468,0.11003,-0.30563,0.23116,-1.3633,-0.75895,-0.51791,0.35594,-0.30813,-0.2747,-0.58526,-0.070858,-0.13374,-0.35743,-1.3504,-0.080796,0.41642,-0.49668
